id,axis,condition,law,window,counterfactual_pair_id,ground_truth,predicted,correct,raw_response
RISA_2168,M,M3,LAW_C,W1,RISA_2167,Yes,Abstain,False,
RISA_2002,P,P4,LAW_B,W1,RISA_2001,No,Abstain,False,
RISA_0725,W,W1,LAW_B,W1,RISA_0726,No,Abstain,False,
RISA_1315,M,M6,LAW_B,W1,RISA_1316,No,Abstain,False,
RISA_1768,M,M5,LAW_B,W1,RISA_1767,No,Abstain,False,
RISA_0270,M,M5,LAW_A,W1,RISA_0269,Yes,Abstain,False,
RISA_1781,T,T4,LAW_B,W1,RISA_1782,No,Abstain,False,
RISA_2068,M,M5,LAW_B,W1,RISA_2067,No,Abstain,False,
RISA_1373,E,E5,LAW_C,W1,RISA_1374,Yes,Abstain,False,
RISA_0918,P,P4,LAW_B,W1,RISA_0917,No,Abstain,False,
RISA_1611,M,M5,LAW_A,W1,RISA_1612,Yes,Abstain,False,
RISA_1320,L,L2,LAW_A,W1,RISA_1319,Yes,Abstain,False,
RISA_2139,M,M2,LAW_C,W1,RISA_2140,Yes,Abstain,False,
RISA_2022,L,L6,LAW_B,W1,RISA_2021,No,Abstain,False,
RISA_1594,M,M3,LAW_A,W1,RISA_1593,Yes,Abstain,False,
RISA_2491,L,L1,LAW_C,W1,RISA_2492,Yes,Abstain,False,
RISA_0376,W,W1,LAW_A,W1,RISA_0375,Yes,Abstain,False,
RISA_0334,P,P4,LAW_A,W1,RISA_0333,Yes,Abstain,False,
RISA_1792,L,L3,LAW_B,W1,RISA_1791,No,Abstain,False,
RISA_2349,M,M4,LAW_B,W1,RISA_2350,No,Abstain,False,
RISA_1119,T,T3,LAW_B,W1,RISA_1120,No,Abstain,False,
RISA_1443,L,L2,LAW_A,W1,RISA_1444,Yes,Abstain,False,
RISA_0911,E,E4,LAW_C,W1,RISA_0912,Yes,Abstain,False,
RISA_0777,P,P4,LAW_A,W1,RISA_0778,Yes,Abstain,False,
RISA_1744,L,L1,LAW_B,W1,RISA_1743,No,Abstain,False,
RISA_0329,E,E2,LAW_C,W1,RISA_0330,Yes,Abstain,False,
RISA_1343,M,M6,LAW_C,W1,RISA_1344,Yes,Abstain,False,
RISA_0321,L,L5,LAW_B,W1,RISA_0322,No,Abstain,False,
RISA_2011,W,W1,LAW_C,W1,RISA_2012,Yes,Abstain,False,
RISA_0013,M,M2,LAW_C,W1,RISA_0014,Yes,Abstain,False,
RISA_0898,W,W4,LAW_B,W4,RISA_0897,No,Abstain,False,
RISA_0172,M,M1,LAW_B,W1,RISA_0171,No,Abstain,False,
RISA_0261,W,W4,LAW_C,W4,RISA_0262,Yes,Abstain,False,
RISA_2403,M,M1,LAW_C,W1,RISA_2404,Yes,Abstain,False,
RISA_0690,E,E2,LAW_B,W1,RISA_0689,No,Abstain,False,
RISA_0902,T,T5,LAW_C,W1,RISA_0901,Yes,Abstain,False,
RISA_0259,M,M1,LAW_C,W1,RISA_0260,Yes,Abstain,False,
RISA_0845,E,E3,LAW_A,W1,RISA_0846,Yes,Abstain,False,
RISA_2303,P,P4,LAW_B,W1,RISA_2304,No,Abstain,False,
RISA_0139,M,M4,LAW_C,W1,RISA_0140,Yes,Abstain,False,
RISA_0320,W,W4,LAW_C,W4,RISA_0319,Yes,Abstain,False,
RISA_0654,P,P5,LAW_C,W1,RISA_0653,Yes,Abstain,False,
RISA_2203,T,T5,LAW_C,W1,RISA_2204,Yes,Abstain,False,
RISA_1815,E,E1,LAW_C,W1,RISA_1816,Yes,Abstain,False,
RISA_0559,E,E4,LAW_B,W1,RISA_0560,No,Abstain,False,
RISA_0140,M,M2,LAW_C,W1,RISA_0139,Yes,Abstain,False,
RISA_0113,M,M2,LAW_B,W1,RISA_0114,No,Abstain,False,
RISA_0532,P,P1,LAW_A,W1,RISA_0531,Yes,Abstain,False,
RISA_0225,M,M3,LAW_A,W1,RISA_0226,Yes,Abstain,False,
RISA_0724,P,P1,LAW_B,W1,RISA_0723,No,Abstain,False,
RISA_2320,L,L1,LAW_C,W1,RISA_2319,Yes,Abstain,False,
RISA_2137,T,T3,LAW_A,W1,RISA_2138,Yes,Abstain,False,
RISA_1434,L,L5,LAW_A,W1,RISA_1433,Yes,Abstain,False,
RISA_0326,E,E5,LAW_A,W1,RISA_0325,Yes,Abstain,False,
RISA_1324,P,P4,LAW_C,W1,RISA_1323,Yes,Abstain,False,
RISA_1940,T,T4,LAW_B,W1,RISA_1939,No,Abstain,False,
RISA_1459,T,T4,LAW_A,W1,RISA_1460,Yes,Abstain,False,
RISA_1928,W,W4,LAW_C,W4,RISA_1927,Yes,Abstain,False,
RISA_2249,P,P6,LAW_A,W1,RISA_2250,Yes,Abstain,False,
RISA_0715,M,M2,LAW_C,W1,RISA_0716,Yes,Abstain,False,
RISA_0847,E,E1,LAW_C,W1,RISA_0848,Yes,Abstain,False,
RISA_0194,P,P5,LAW_C,W1,RISA_0193,Yes,Abstain,False,
RISA_1926,M,M6,LAW_C,W1,RISA_1925,Yes,Abstain,False,
RISA_0574,T,T5,LAW_A,W1,RISA_0573,Yes,Abstain,False,
RISA_0947,T,T4,LAW_B,W1,RISA_0948,No,Abstain,False,
RISA_0504,L,L5,LAW_A,W1,RISA_0503,Yes,Abstain,False,
RISA_1808,L,L2,LAW_A,W1,RISA_1807,Yes,Abstain,False,
RISA_2408,L,L6,LAW_C,W1,RISA_2407,Yes,Abstain,False,
RISA_0646,M,M5,LAW_A,W1,RISA_0645,Yes,Abstain,False,
RISA_0004,M,M4,LAW_C,W1,RISA_0003,Yes,Abstain,False,
RISA_1778,T,T1,LAW_C,W1,RISA_1777,Yes,Abstain,False,
RISA_0468,M,M4,LAW_B,W1,RISA_0467,No,Abstain,False,
RISA_1346,E,E2,LAW_C,W1,RISA_1345,Yes,Abstain,False,
RISA_0006,L,L3,LAW_C,W1,RISA_0005,Yes,Abstain,False,
RISA_2032,P,P2,LAW_A,W1,RISA_2031,Yes,Abstain,False,
RISA_0920,T,T5,LAW_C,W1,RISA_0919,Yes,Abstain,False,
RISA_0548,P,P4,LAW_B,W1,RISA_0547,No,Abstain,False,
RISA_0229,T,T3,LAW_C,W1,RISA_0230,Yes,Abstain,False,
RISA_1064,E,E5,LAW_A,W1,RISA_1063,Yes,Abstain,False,
RISA_0543,T,T3,LAW_A,W1,RISA_0544,Yes,Abstain,False,
RISA_0243,E,E4,LAW_B,W1,RISA_0244,No,Abstain,False,
RISA_0899,L,L6,LAW_C,W1,RISA_0900,Yes,Abstain,False,
RISA_1755,E,E2,LAW_C,W1,RISA_1756,Yes,Abstain,False,
RISA_1161,W,W3,LAW_B,W3,RISA_1162,No,Abstain,False,
RISA_1833,W,W2,LAW_C,W2,RISA_1834,Yes,Abstain,False,
RISA_1689,W,W2,LAW_A,W2,RISA_1690,Yes,Abstain,False,
RISA_1810,T,T5,LAW_C,W1,RISA_1809,Yes,Abstain,False,
RISA_0843,E,E5,LAW_B,W1,RISA_0844,No,Abstain,False,
RISA_1374,E,E1,LAW_C,W1,RISA_1373,Yes,Abstain,False,
RISA_2108,P,P1,LAW_C,W1,RISA_2107,Yes,Abstain,False,
RISA_2113,W,W4,LAW_A,W4,RISA_2114,Yes,Abstain,False,
RISA_1527,P,P4,LAW_C,W1,RISA_1528,Yes,Abstain,False,
RISA_0277,P,P4,LAW_A,W1,RISA_0278,Yes,Abstain,False,
RISA_0662,P,P1,LAW_A,W1,RISA_0661,Yes,Abstain,False,
RISA_1827,P,P3,LAW_C,W1,RISA_1828,Yes,Abstain,False,
RISA_2117,M,M6,LAW_A,W1,RISA_2118,Yes,Abstain,False,
RISA_2358,E,E2,LAW_A,W1,RISA_2357,Yes,Abstain,False,
RISA_1859,M,M5,LAW_C,W1,RISA_1860,Yes,Abstain,False,
RISA_0315,E,E1,LAW_B,W1,RISA_0316,No,Abstain,False,
RISA_1467,W,W1,LAW_C,W1,RISA_1468,Yes,Abstain,False,
RISA_1344,M,M1,LAW_C,W1,RISA_1343,Yes,Abstain,False,
RISA_1846,L,L5,LAW_C,W1,RISA_1845,Yes,Abstain,False,
RISA_0692,L,L6,LAW_A,W1,RISA_0691,Yes,Abstain,False,
RISA_1542,P,P2,LAW_C,W1,RISA_1541,Yes,Abstain,False,
RISA_0613,E,E5,LAW_B,W1,RISA_0614,No,Abstain,False,
RISA_0425,M,M6,LAW_A,W1,RISA_0426,Yes,Abstain,False,
RISA_1578,W,W3,LAW_B,W3,RISA_1577,No,Abstain,False,
RISA_0595,L,L6,LAW_B,W1,RISA_0596,No,Abstain,False,
RISA_2476,L,L2,LAW_B,W1,RISA_2475,No,Abstain,False,
RISA_1951,L,L2,LAW_C,W1,RISA_1952,Yes,Abstain,False,
RISA_0623,P,P6,LAW_B,W1,RISA_0624,No,Abstain,False,
RISA_1806,M,M1,LAW_B,W1,RISA_1805,No,Abstain,False,
RISA_1494,M,M6,LAW_B,W1,RISA_1493,No,Abstain,False,
RISA_2239,M,M5,LAW_C,W1,RISA_2240,Yes,Abstain,False,
RISA_0228,T,T1,LAW_A,W1,RISA_0227,Yes,Abstain,False,
RISA_2323,L,L5,LAW_A,W1,RISA_2324,Yes,Abstain,False,
RISA_1170,P,P4,LAW_A,W1,RISA_1169,Yes,Abstain,False,
RISA_2038,L,L4,LAW_B,W1,RISA_2037,No,Abstain,False,
RISA_1703,M,M3,LAW_C,W1,RISA_1704,Yes,Abstain,False,
RISA_0067,P,P1,LAW_A,W1,RISA_0068,Yes,Abstain,False,
RISA_1418,M,M3,LAW_A,W1,RISA_1417,Yes,Abstain,False,
RISA_2255,W,W2,LAW_C,W2,RISA_2256,Yes,Abstain,False,
RISA_0025,P,P2,LAW_B,W1,RISA_0026,No,Abstain,False,
RISA_1236,E,E5,LAW_B,W1,RISA_1235,No,Abstain,False,
RISA_2464,M,M2,LAW_C,W1,RISA_2463,Yes,Abstain,False,
RISA_0145,W,W2,LAW_C,W2,RISA_0146,Yes,Abstain,False,
RISA_0537,L,L3,LAW_A,W1,RISA_0538,Yes,Abstain,False,
RISA_0812,T,T4,LAW_A,W1,RISA_0811,Yes,Abstain,False,
RISA_1736,M,M2,LAW_A,W1,RISA_1735,Yes,Abstain,False,
RISA_1498,W,W1,LAW_A,W1,RISA_1497,Yes,Abstain,False,
RISA_0086,L,L3,LAW_A,W1,RISA_0085,Yes,Abstain,False,
RISA_1255,P,P1,LAW_B,W1,RISA_1256,No,Abstain,False,
RISA_2208,E,E5,LAW_A,W1,RISA_2207,Yes,Abstain,False,
RISA_2362,M,M6,LAW_B,W1,RISA_2361,No,Abstain,False,
RISA_2067,M,M3,LAW_B,W1,RISA_2068,No,Abstain,False,
RISA_1670,W,W1,LAW_B,W1,RISA_1669,No,Abstain,False,
RISA_0485,P,P4,LAW_C,W1,RISA_0486,Yes,Abstain,False,
RISA_2227,M,M1,LAW_C,W1,RISA_2228,Yes,Abstain,False,
RISA_2387,W,W4,LAW_A,W4,RISA_2388,Yes,Abstain,False,
RISA_0739,P,P6,LAW_A,W1,RISA_0740,Yes,Abstain,False,
RISA_1771,T,T2,LAW_C,W1,RISA_1772,Yes,Abstain,False,
RISA_2189,L,L1,LAW_A,W1,RISA_2190,Yes,Abstain,False,
RISA_2462,T,T5,LAW_C,W1,RISA_2461,Yes,Abstain,False,
RISA_1743,L,L6,LAW_B,W1,RISA_1744,No,Abstain,False,
RISA_0363,E,E4,LAW_A,W1,RISA_0364,Yes,Abstain,False,
RISA_0750,T,T4,LAW_B,W1,RISA_0749,No,Abstain,False,
RISA_2106,L,L4,LAW_B,W1,RISA_2105,No,Abstain,False,
RISA_1647,L,L2,LAW_B,W1,RISA_1648,No,Abstain,False,
RISA_1027,P,P3,LAW_B,W1,RISA_1028,No,Abstain,False,
RISA_1031,T,T3,LAW_C,W1,RISA_1032,Yes,Abstain,False,
RISA_1869,M,M6,LAW_B,W1,RISA_1870,No,Abstain,False,
RISA_1336,T,T2,LAW_B,W1,RISA_1335,No,Abstain,False,
RISA_2060,T,T4,LAW_A,W1,RISA_2059,Yes,Abstain,False,
RISA_1895,E,E4,LAW_A,W1,RISA_1896,Yes,Abstain,False,
RISA_0666,W,W3,LAW_A,W3,RISA_0665,Yes,Abstain,False,
RISA_0365,L,L4,LAW_C,W1,RISA_0366,Yes,Abstain,False,
RISA_2293,P,P3,LAW_C,W1,RISA_2294,Yes,Abstain,False,
RISA_1240,L,L3,LAW_C,W1,RISA_1239,Yes,Abstain,False,
RISA_0078,M,M5,LAW_C,W1,RISA_0077,Yes,Abstain,False,
RISA_0028,L,L1,LAW_A,W1,RISA_0027,Yes,Abstain,False,
RISA_0474,W,W1,LAW_C,W1,RISA_0473,Yes,Abstain,False,
RISA_0526,L,L2,LAW_B,W1,RISA_0525,No,Abstain,False,
RISA_0726,W,W4,LAW_B,W4,RISA_0725,No,Abstain,False,
RISA_0056,L,L4,LAW_B,W1,RISA_0055,No,Abstain,False,
RISA_0639,M,M5,LAW_B,W1,RISA_0640,No,Abstain,False,
RISA_0303,T,T2,LAW_A,W1,RISA_0304,Yes,Abstain,False,
RISA_0719,P,P3,LAW_B,W1,RISA_0720,No,Abstain,False,
RISA_1872,W,W3,LAW_B,W3,RISA_1871,No,Abstain,False,
RISA_0625,L,L6,LAW_B,W1,RISA_0626,No,Abstain,False,
RISA_0008,E,E5,LAW_A,W1,RISA_0007,Yes,Abstain,False,
RISA_1281,W,W1,LAW_C,W1,RISA_1282,Yes,Abstain,False,
RISA_0804,M,M1,LAW_C,W1,RISA_0803,Yes,Abstain,False,
RISA_1050,P,P1,LAW_C,W1,RISA_1049,Yes,Abstain,False,
RISA_0337,E,E3,LAW_C,W1,RISA_0338,Yes,Abstain,False,
RISA_1597,L,L1,LAW_A,W1,RISA_1598,Yes,Abstain,False,
RISA_0048,M,M5,LAW_B,W1,RISA_0047,No,Abstain,False,
RISA_2153,P,P4,LAW_C,W1,RISA_2154,Yes,Abstain,False,
RISA_0107,W,W1,LAW_C,W1,RISA_0108,Yes,Abstain,False,
RISA_0350,T,T5,LAW_B,W1,RISA_0349,No,Abstain,False,
RISA_1080,P,P1,LAW_A,W1,RISA_1079,Yes,Abstain,False,
RISA_0239,L,L2,LAW_A,W1,RISA_0240,Yes,Abstain,False,
RISA_0214,L,L1,LAW_A,W1,RISA_0213,Yes,Abstain,False,
RISA_1145,L,L3,LAW_B,W1,RISA_1146,No,Abstain,False,
RISA_2380,M,M4,LAW_A,W1,RISA_2379,Yes,Abstain,False,
RISA_1762,L,L5,LAW_C,W1,RISA_1761,Yes,Abstain,False,
RISA_0794,W,W1,LAW_C,W1,RISA_0793,Yes,Abstain,False,
RISA_1097,T,T3,LAW_B,W1,RISA_1098,No,Abstain,False,
RISA_2207,E,E4,LAW_A,W1,RISA_2208,Yes,Abstain,False,
RISA_1740,P,P1,LAW_A,W1,RISA_1739,Yes,Abstain,False,
RISA_2223,T,T4,LAW_A,W1,RISA_2224,Yes,Abstain,False,
RISA_0346,L,L3,LAW_B,W1,RISA_0345,No,Abstain,False,
RISA_0524,M,M1,LAW_C,W1,RISA_0523,Yes,Abstain,False,
RISA_0233,W,W2,LAW_B,W2,RISA_0234,No,Abstain,False,
RISA_0645,M,M3,LAW_A,W1,RISA_0646,Yes,Abstain,False,
RISA_1918,L,L5,LAW_C,W1,RISA_1917,Yes,Abstain,False,
RISA_2171,L,L6,LAW_A,W1,RISA_2172,Yes,Abstain,False,
RISA_1429,L,L4,LAW_A,W1,RISA_1430,Yes,Abstain,False,
RISA_0534,P,P1,LAW_C,W1,RISA_0533,Yes,Abstain,False,
RISA_2172,L,L1,LAW_A,W1,RISA_2171,Yes,Abstain,False,
RISA_0604,L,L6,LAW_A,W1,RISA_0603,Yes,Abstain,False,
RISA_1490,L,L6,LAW_C,W1,RISA_1489,Yes,Abstain,False,
RISA_1858,P,P2,LAW_B,W1,RISA_1857,No,Abstain,False,
RISA_1427,M,M3,LAW_B,W1,RISA_1428,No,Abstain,False,
RISA_1075,P,P3,LAW_B,W1,RISA_1076,No,Abstain,False,
RISA_2006,P,P2,LAW_C,W1,RISA_2005,Yes,Abstain,False,
RISA_0061,M,M1,LAW_B,W1,RISA_0062,No,Abstain,False,
RISA_1941,W,W4,LAW_A,W4,RISA_1942,Yes,Abstain,False,
RISA_0093,W,W1,LAW_C,W1,RISA_0094,Yes,Abstain,False,
RISA_0667,E,E5,LAW_C,W1,RISA_0668,Yes,Abstain,False,
RISA_1721,T,T1,LAW_A,W1,RISA_1722,Yes,Abstain,False,
RISA_2247,W,W2,LAW_B,W2,RISA_2248,No,Abstain,False,
RISA_0281,T,T5,LAW_B,W1,RISA_0282,No,Abstain,False,
RISA_1720,T,T2,LAW_C,W1,RISA_1719,Yes,Abstain,False,
RISA_1726,P,P5,LAW_A,W1,RISA_1725,Yes,Abstain,False,
RISA_0360,E,E2,LAW_B,W1,RISA_0359,No,Abstain,False,
RISA_1749,W,W2,LAW_C,W2,RISA_1750,Yes,Abstain,False,
RISA_1544,P,P1,LAW_C,W1,RISA_1543,Yes,Abstain,False,
RISA_1398,W,W2,LAW_C,W2,RISA_1397,Yes,Abstain,False,
RISA_1804,P,P1,LAW_B,W1,RISA_1803,No,Abstain,False,
RISA_0848,E,E5,LAW_C,W1,RISA_0847,Yes,Abstain,False,
RISA_1207,P,P2,LAW_A,W1,RISA_1208,Yes,Abstain,False,
RISA_2263,W,W2,LAW_A,W2,RISA_2264,Yes,Abstain,False,
RISA_0761,M,M6,LAW_A,W1,RISA_0762,Yes,Abstain,False,
RISA_0111,T,T4,LAW_B,W1,RISA_0112,No,Abstain,False,
RISA_0043,E,E5,LAW_C,W1,RISA_0044,Yes,Abstain,False,
RISA_0126,E,E5,LAW_C,W1,RISA_0125,Yes,Abstain,False,
RISA_0205,E,E1,LAW_B,W1,RISA_0206,No,Abstain,False,
RISA_1474,W,W2,LAW_C,W2,RISA_1473,Yes,Abstain,False,
RISA_0053,L,L3,LAW_A,W1,RISA_0054,Yes,Abstain,False,
RISA_0546,L,L6,LAW_A,W1,RISA_0545,Yes,Abstain,False,
RISA_0069,W,W4,LAW_C,W4,RISA_0070,Yes,Abstain,False,
RISA_2224,T,T2,LAW_A,W1,RISA_2223,Yes,Abstain,False,
RISA_1952,L,L4,LAW_C,W1,RISA_1951,Yes,Abstain,False,
RISA_2198,E,E1,LAW_A,W1,RISA_2197,Yes,Abstain,False,
RISA_1909,L,L6,LAW_C,W1,RISA_1910,Yes,Abstain,False,
RISA_1425,M,M1,LAW_B,W1,RISA_1426,No,Abstain,False,
RISA_0184,P,P5,LAW_C,W1,RISA_0183,Yes,Abstain,False,
RISA_0138,E,E2,LAW_A,W1,RISA_0137,Yes,Abstain,False,
RISA_0900,L,L1,LAW_C,W1,RISA_0899,Yes,Abstain,False,
RISA_0797,M,M5,LAW_A,W1,RISA_0798,Yes,Abstain,False,
RISA_0133,P,P4,LAW_B,W1,RISA_0134,No,Abstain,False,
RISA_0081,L,L4,LAW_C,W1,RISA_0082,Yes,Abstain,False,
RISA_1587,W,W3,LAW_C,W3,RISA_1588,Yes,Abstain,False,
RISA_2158,E,E5,LAW_C,W1,RISA_2157,Yes,Abstain,False,
RISA_0759,E,E4,LAW_C,W1,RISA_0760,Yes,Abstain,False,
RISA_0542,E,E3,LAW_B,W1,RISA_0541,No,Abstain,False,
RISA_1020,P,P4,LAW_B,W1,RISA_1019,No,Abstain,False,
RISA_1767,M,M3,LAW_B,W1,RISA_1768,No,Abstain,False,
RISA_0984,M,M3,LAW_C,W1,RISA_0983,Yes,Abstain,False,
RISA_2232,P,P5,LAW_C,W1,RISA_2231,Yes,Abstain,False,
RISA_0166,E,E3,LAW_C,W1,RISA_0165,Yes,Abstain,False,
RISA_0249,T,T4,LAW_B,W1,RISA_0250,No,Abstain,False,
RISA_1332,M,M6,LAW_B,W1,RISA_1331,No,Abstain,False,
RISA_0447,P,P4,LAW_B,W1,RISA_0448,No,Abstain,False,
RISA_1777,T,T5,LAW_C,W1,RISA_1778,Yes,Abstain,False,
RISA_0859,E,E5,LAW_C,W1,RISA_0860,Yes,Abstain,False,
RISA_1359,L,L4,LAW_C,W1,RISA_1360,Yes,Abstain,False,
RISA_1862,L,L4,LAW_B,W1,RISA_1861,No,Abstain,False,
RISA_0098,M,M5,LAW_B,W1,RISA_0097,No,Abstain,False,
RISA_2308,L,L5,LAW_C,W1,RISA_2307,Yes,Abstain,False,
RISA_0806,M,M3,LAW_A,W1,RISA_0805,Yes,Abstain,False,
RISA_0738,T,T4,LAW_C,W1,RISA_0737,Yes,Abstain,False,
RISA_2101,T,T1,LAW_B,W1,RISA_2102,No,Abstain,False,
RISA_1886,T,T4,LAW_C,W1,RISA_1885,Yes,Abstain,False,
RISA_2001,P,P2,LAW_B,W1,RISA_2002,No,Abstain,False,
RISA_0103,L,L4,LAW_A,W1,RISA_0104,Yes,Abstain,False,
RISA_0435,M,M4,LAW_C,W1,RISA_0436,Yes,Abstain,False,
RISA_0075,M,M1,LAW_C,W1,RISA_0076,Yes,Abstain,False,
RISA_0578,T,T1,LAW_A,W1,RISA_0577,Yes,Abstain,False,
RISA_1847,M,M2,LAW_A,W1,RISA_1848,Yes,Abstain,False,
RISA_2313,P,P4,LAW_A,W1,RISA_2314,Yes,Abstain,False,
RISA_1231,L,L4,LAW_A,W1,RISA_1232,Yes,Abstain,False,
RISA_0919,T,T3,LAW_C,W1,RISA_0920,Yes,Abstain,False,
RISA_1327,T,T4,LAW_A,W1,RISA_1328,Yes,Abstain,False,
RISA_2316,W,W4,LAW_C,W4,RISA_2315,Yes,Abstain,False,
RISA_2287,M,M4,LAW_C,W1,RISA_2288,Yes,Abstain,False,
RISA_2246,E,E1,LAW_C,W1,RISA_2245,Yes,Abstain,False,
RISA_0763,M,M6,LAW_B,W1,RISA_0764,No,Abstain,False,
RISA_2116,E,E2,LAW_A,W1,RISA_2115,Yes,Abstain,False,
RISA_0990,T,T5,LAW_C,W1,RISA_0989,Yes,Abstain,False,
RISA_0389,L,L2,LAW_B,W1,RISA_0390,No,Abstain,False,
RISA_0236,L,L3,LAW_B,W1,RISA_0235,No,Abstain,False,
RISA_2495,E,E4,LAW_C,W1,RISA_2496,Yes,Abstain,False,
RISA_0268,T,T4,LAW_C,W1,RISA_0267,Yes,Abstain,False,
RISA_1330,M,M1,LAW_C,W1,RISA_1329,Yes,Abstain,False,
RISA_2304,P,P2,LAW_B,W1,RISA_2303,No,Abstain,False,
RISA_0118,L,L1,LAW_A,W1,RISA_0117,Yes,Abstain,False,
RISA_0438,L,L6,LAW_C,W1,RISA_0437,Yes,Abstain,False,
RISA_0674,T,T5,LAW_A,W1,RISA_0673,Yes,Abstain,False,
RISA_0250,T,T2,LAW_B,W1,RISA_0249,No,Abstain,False,
RISA_2129,M,M3,LAW_C,W1,RISA_2130,Yes,Abstain,False,
RISA_1575,E,E2,LAW_C,W1,RISA_1576,Yes,Abstain,False,
RISA_2497,W,W5,LAW_A,W5,RISA_2498,Yes,Abstain,False,
RISA_0095,T,T4,LAW_B,W1,RISA_0096,No,Abstain,False,
RISA_1898,M,M4,LAW_A,W1,RISA_1897,Yes,Abstain,False,
RISA_0034,E,E3,LAW_C,W1,RISA_0033,Yes,Abstain,False,
RISA_2135,P,P2,LAW_A,W1,RISA_2136,Yes,Abstain,False,
RISA_2285,P,P1,LAW_B,W1,RISA_2286,No,Abstain,False,
RISA_0449,L,L2,LAW_A,W1,RISA_0450,Yes,Abstain,False,
RISA_1470,T,T5,LAW_C,W1,RISA_1469,Yes,Abstain,False,
RISA_1796,P,P1,LAW_C,W1,RISA_1795,Yes,Abstain,False,
RISA_0717,T,T1,LAW_A,W1,RISA_0718,Yes,Abstain,False,
RISA_1942,W,W1,LAW_A,W1,RISA_1941,Yes,Abstain,False,
RISA_2176,M,M6,LAW_C,W1,RISA_2175,Yes,Abstain,False,
RISA_0001,M,M4,LAW_B,W1,RISA_0002,No,Abstain,False,
RISA_0457,W,W2,LAW_B,W2,RISA_0458,No,Abstain,False,
RISA_1102,P,P4,LAW_C,W1,RISA_1101,Yes,Abstain,False,
RISA_1109,T,T3,LAW_C,W1,RISA_1110,Yes,Abstain,False,
RISA_1883,L,L5,LAW_A,W1,RISA_1884,Yes,Abstain,False,
RISA_0083,P,P2,LAW_B,W1,RISA_0084,No,Abstain,False,
RISA_1482,E,E3,LAW_B,W1,RISA_1481,No,Abstain,False,
RISA_1977,L,L4,LAW_A,W1,RISA_1978,Yes,Abstain,False,
RISA_0677,W,W1,LAW_B,W1,RISA_0678,No,Abstain,False,
RISA_2043,M,M5,LAW_B,W1,RISA_2044,No,Abstain,False,
RISA_2127,L,L3,LAW_C,W1,RISA_2128,Yes,Abstain,False,
RISA_1047,T,T3,LAW_C,W1,RISA_1048,Yes,Abstain,False,
RISA_1461,L,L5,LAW_A,W1,RISA_1462,Yes,Abstain,False,
RISA_0771,P,P4,LAW_C,W1,RISA_0772,Yes,Abstain,False,
RISA_1669,W,W4,LAW_B,W4,RISA_1670,No,Abstain,False,
RISA_2025,T,T3,LAW_A,W1,RISA_2026,Yes,Abstain,False,
RISA_1964,L,L3,LAW_C,W1,RISA_1963,Yes,Abstain,False,
RISA_0518,L,L2,LAW_C,W1,RISA_0517,Yes,Abstain,False,
RISA_0823,L,L6,LAW_C,W1,RISA_0824,Yes,Abstain,False,
RISA_0405,E,E1,LAW_C,W1,RISA_0406,Yes,Abstain,False,
RISA_0385,E,E1,LAW_B,W1,RISA_0386,No,Abstain,False,
